 Unit  Change - Pred. Black Stops   Min to Max, Racial Con.   Change - Black Officers    Diff - Stops   Diff - Officers
-----  ---------------------------  ------------------------  ------------------------  -------------  ----------------
    1  269 to 263                   1.45 to 1.48              117 to 119                            6                 2
    2  1887 to 1866                 0.92 to 0.93              310 to 317                           22                 7
    3  2457 to 2282                 0.59 to 0.68              260 to 277                          175                17
    4  1163 to 1103                 0.49 to 0.56              139 to 137                           60                -2
    5  1359 to 1317                 0.56 to 0.6               216 to 217                           42                 1
    6  1824 to 1772                 0.52 to 0.55              234 to 232                           51                -2
    7  2937 to 2848                 0.31 to 0.35              157 to 166                           89                 9
    8  906 to 874                   0.37 to 0.42              38 to 42                             32                 4
    9  716 to 692                   0.66 to 0.7               33 to 35                             24                 2
   10  956 to 943                   0.19 to 0.21              24 to 27                             13                 3
   11  2165 to 2125                 0.2 to 0.23               87 to 91                             40                 4
   12  804 to 786                   0.66 to 0.69              58 to 66                             18                 8
   14  138 to 127                   0.91 to 1.02              20 to 23                             11                 3
   15  1483 to 1448                 0.2 to 0.23               77 to 81                             36                 4
   16  92 to 64                     3.14 to 3.6               10 to 11                             28                 1
   17  79 to 66                     0.93 to 1.16              8 to 10                              13                 2
   18  531 to 473                   2.21 to 2.36              94 to 100                            58                 6
   19  594 to 440                   1.17 to 1.55              29 to 40                            154                11
   20  275 to 254                   0.49 to 0.59              15 to 18                             21                 3
   22  1078 to 1065                 0.55 to 0.57              107 to 106                           13                -1
   24  495 to 477                   0.3 to 0.35               17 to 20                             18                 3
   25  445 to 433                   0.34 to 0.38              26 to 27                             12                 1
